"company_id","company_name","timestamp","date","project_id","id","reason"
"M000692","浙江志高机械股份有限公司",1647863976000,"2022-03-21 19:59:36","1001886","1001886-M000692","因受新冠疫情影响，发行人及保荐人主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000577","慧博云通科技股份有限公司",1633011864000,"2021-09-30 22:24:24","1001642","1001642-M000577","2021年09月30日，慧博云通科技股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000661","常州特尔玛科技股份有限公司",1647946649000,"2022-03-22 18:57:29","1001930","1001930-M000661","因受新冠疫情影响，发行人及保荐人主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000577","安徽舜禹水务股份有限公司",1633011864000,"2021-09-30 22:24:24","1001521","1001521-M000577","2021年09月30日，安徽舜禹水务股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000528","广东飞南资源利用股份有限公司",1617207002000,"2021-04-01 00:10:02","1001175","1001175-M000528","2021年04月01日，广东飞南资源利用股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000023","广东思泉新材料股份有限公司",1632835046000,"2021-09-28 21:17:26","1001595","1001595-M000023","因发行人及保荐人更新财务资料，主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000104","湖南崇德科技股份有限公司",1646907949000,"2022-03-10 18:25:49","1001948","1001948-M000104","因发行人的签字保荐代表人被中国证监会依法采取暂不受理与行政许可有关文件的监管措施，尚未解除，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000011","深圳壹连科技股份有限公司",1659082493000,"2022-07-29 16:14:53","1002211","1002211-M000011","因发行人资产评估机构中水致远资产评估有限公司被中国证监会立案调查，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000633","苏州未来电器股份有限公司",1629300521000,"2021-08-18 23:28:41","1001505","1001505-M000633","发行人评估机构开元资产评估有限公司因被中国证监会立案调查，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000032","北方长龙新材料技术股份有限公司",1632741174000,"2021-09-27 19:12:54","1001431","1001431-M000032","因发行人及保荐人更新财务资料，主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000227","广东美信科技股份有限公司",1648558122000,"2022-03-29 20:48:42","1001924","1001924-M000227","因发行人及保荐人更新财务资料，主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000571","日日顺供应链科技股份有限公司",1633011864000,"2021-09-30 22:24:24","1001406","1001406-M000571","2021年09月30日，日日顺供应链科技股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000680","四川港通医疗设备集团股份有限公司",1643188781000,"2022-01-26 17:19:41","1001888","1001888-M000680","发行人律师北京市金杜律师事务所因被中国证监会立案调查，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000673","芜湖佳宏新材料股份有限公司",1659078000000,"2022-07-29 15:00:00","1002325","1002325-M000673","因发行人资产评估机构中水致远资产评估有限公司被中国证监会立案调查，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000628","重庆国际复合材料股份有限公司",1632903948000,"2021-09-29 16:25:48","1001491","1001491-M000628","因发行人及保荐人更新财务资料，主动申请中止发行上市审核程序，根据《深圳证券交易所创业板股票发行上市审核规则》第六十四条的相关规定，本所中止其发行上市审核。"
"M000571","美新科技股份有限公司",1656590402000,"2022-06-30 20:00:02","1002052","1002052-M000571","2022年06月30日，美新科技股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000687","北京数聚智连科技股份有限公司",1633011864000,"2021-09-30 22:24:24","1001512","1001512-M000687","2021年09月30日，北京数聚智连科技股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000108","湖北省宏源药业科技股份有限公司",1648728001000,"2022-03-31 20:00:01","1001569","1001569-M000108","2022年03月31日，湖北省宏源药业科技股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
"M000001","上海唯都市场营销策划股份有限公司",1633011864000,"2021-09-30 22:24:24","1001617","1001617-M000001","2021年09月30日，上海唯都市场营销策划股份有限公司因IPO申请文件中记载的财务资料已过有效期，需要补充提交，根据《深圳证券交易所创业板股票发行上市审核规则》的相关规定，本所中止其发行上市审核。"
